STUSPS	NAME	INTPTLONG	INTPTLAT
AK	Kupreanof city	-132.972152	56.821295
AK	Kwethluk city	-161.426777	60.79107
AK	Larsen Bay city	-154.004902	57.550965
AK	Lower Kalskag city	-160.357635	61.515813
AK	McGrath city	-155.548556	62.938077
AK	Manokotak city	-158.995236	59.003785
AK	Marshall city	-162.060842	61.881129
AK	Mekoryuk city	-166.266987	60.370731
AK	Mountain Village city	-163.715339	62.094448
AK	Napakiak city	-161.998964	60.682896
AK	Napaskiak city	-161.748891	60.697551
AK	Nenana city	-149.071851	64.537903
AK	Newhalen city	-154.90077	59.73686
AK	New Stuyahok city	-157.308109	59.48555
AK	Nightmute city	-164.836715	60.464284
AK	Nikolai city	-154.37461	62.99853
AK	Nome city	-165.415307	64.505736
AK	Nondalton city	-154.863921	59.976557
AK	Noorvik city	-161.029203	66.827182
AK	North Pole city	-147.362655	64.752728
AK	Nuiqsut city	-150.995545	70.217102
AK	Nulato city	-158.28377	64.689872
AK	Nunam Iqua city	-164.900384	62.506535
AK	Nunapitchuk city	-162.460278	60.880266
AK	Old Harbor city	-153.330498	57.22004
AK	Ouzinkie city	-152.461656	57.925058
AK	Palmer city	-149.114764	61.597369
AK	Pelican city	-136.216753	57.9598
AK	Petersburg city	-132.875741	56.763209
AK	Pilot Point city	-157.719016	57.543637
AK	Pilot Station city	-162.878297	61.946654
AK	Platinum city	-161.747491	58.951278
AK	Point Hope city	-166.67288	68.343946
AK	Port Alexander city	-134.653499	56.235218
AK	Port Heiden city	-158.580635	56.964177
AK	Port Lions city	-152.865808	57.877613
AK	Quinhagak city	-161.899796	59.755441
AK	Ruby city	-155.501433	64.72236
AK	Russian Mission city	-161.368628	61.784563
AK	St. George city	-169.598681	56.570519
AK	St. Mary's city	-163.249479	62.065286
AK	St. Michael city	-162.129262	63.464848
AK	St. Paul city	-170.325068	57.179041
AK	Sand Point city	-160.483552	55.313368
AK	Savoonga city	-170.482782	63.680766
AK	Saxman city	-131.588969	55.32282
AK	Scammon Bay city	-165.583266	61.842625
AK	Selawik city	-160.001206	66.590751
AK	Seldovia city	-151.711736	59.439715
AK	Seward city	-149.391581	60.124786
AK	Shageluk city	-159.535392	62.666418
AK	Shaktoolik city	-161.2011	64.359086
AK	Shishmaref city	-166.119139	66.234999
AK	Shungnak city	-157.163965	66.887099
AK	Sitka city and borough	-135.332624	57.142509
AK	Soldotna city	-151.068754	60.484996
AK	Stebbins city	-162.277635	63.434614
AK	Tanana city	-152.054643	65.184555
AK	Teller city	-166.351172	65.251655
AK	Tenakee Springs city	-135.135446	57.790054
AK	Thorne Bay city	-132.535605	55.667155
AK	Togiak city	-160.431476	59.040616
AK	Toksook Bay city	-165.105836	60.52896
AK	Unalakleet city	-160.796645	63.893307
AK	Unalaska city	-166.52508	53.913312
AK	Upper Kalskag city	-160.348716	61.53914
AK	Valdez city	-146.320284	61.083367
AK	Wainwright city	-160.001533	70.647391
AK	Wales city	-168.081118	65.614194
AK	Wasilla city	-149.45684	61.57524
AK	White Mountain city	-163.411928	64.681831
AK	Whittier city	-148.664642	60.776683
AK	Wrangell city and borough	-132.040326	56.279121
AZ	Apache Junction city	-111.535346	33.398314
AZ	Avondale city	-112.329077	33.313041
AZ	Benson city	-110.328552	31.914497
AZ	Bisbee city	-109.931834	31.398036
AZ	Buckeye town	-112.647138	33.430118
AZ	Bullhead City city	-114.561149	35.129773
AZ	Camp Verde town	-111.857014	34.569405
AZ	Carefree town	-111.914146	33.823073
AZ	Casa Grande city	-111.762121	32.907111
AZ	Cave Creek town	-111.982191	33.836205
AZ	Chandler city	-111.854943	33.282874
AZ	Chino Valley town	-112.406064	34.739884
AZ	Clarkdale town	-112.058559	34.748195
AZ	Clifton town	-109.283987	33.029502
AZ	Colorado City town	-112.985312	36.970109
AZ	Coolidge city	-111.527518	32.959618
AZ	Cottonwood city	-112.001252	34.719747
AZ	Dewey-Humboldt town	-112.249771	34.517439
AZ	Douglas city	-109.541292	31.399274
AZ	Duncan town	-109.0884	32.749981
AZ	Eagar town	-109.294863	34.104946
AZ	El Mirage city	-112.327102	33.590224
AZ	Eloy city	-111.59848	32.743112
AZ	Flagstaff city	-111.620726	35.185217
AZ	Florence town	-111.412785	33.051517
AZ	Fountain Hills town	-111.737015	33.606701
AZ	Fredonia town	-112.522407	36.96666
AZ	Gila Bend town	-112.70553	32.948625
AZ	Gilbert town	-111.742191	33.310209
AZ	Glendale city	-112.189901	33.533111
AZ	Globe city	-110.748331	33.390922
AZ	Goodyear city	-112.366472	33.254031
AZ	Guadalupe town	-111.963058	33.366362
AZ	Hayden town	-110.783641	32.998341
AZ	Holbrook city	-110.16721	34.904624
AZ	Huachuca City town	-110.342272	31.63079
AZ	Jerome town	-112.10726	34.74662
AZ	Kearny town	-110.90819	33.055967
AZ	Kingman city	-114.016734	35.216803
AZ	Lake Havasu City city	-114.314853	34.501576
AZ	Litchfield Park city	-112.35947	33.501761
AZ	Mammoth town	-110.644553	32.723451
AZ	Marana town	-111.139016	32.465396
AZ	Maricopa city	-112.015485	33.045487
AZ	Mesa city	-111.717379	33.401926
AZ	Miami town	-110.872304	33.39497
AZ	Nogales city	-110.933538	31.362463
AZ	Oro Valley town	-110.976235	32.422094
AZ	Page city	-111.460867	36.902769
AZ	Paradise Valley town	-111.960845	33.552157
